site_id,site_name,group_id,x,y,height,width,azimuth,module_orientation,module_tilt,module_width,module_height,vSpacing,hSpacing,num_rows,num_columns,module_id,row,column,id,inverterId
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504693,6,4,17962171,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504701,5,2,17962142,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504716,2,3,17962155,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504700,4,1,17962153,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504709,2,2,17962148,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504723,1,3,17962139,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504696,3,0,17962138,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504710,1,1,17962141,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504713,4,3,17962154,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504705,3,1,17962136,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504720,0,2,17962149,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504715,5,0,17962160,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504702,6,1,17962157,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504712,0,0,17962173,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504721,0,1,17962152,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504718,0,3,17962170,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504707,5,4,17962158,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504711,3,2,17962147,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504704,5,3,17962143,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504698,4,2,17962162,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504717,2,1,17962156,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504724,2,0,17962140,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504714,4,4,17962169,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504697,2,4,17962161,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504722,5,1,17962166,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504719,1,0,17962150,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504695,6,3,17962164,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504706,6,0,17962159,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504725,6,2,17962168,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504699,3,4,17962151,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504708,4,0,17962163,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504694,1,2,17962146,17962133
103941,Anonymous,1334105,130.77,0.36,444.0,466.0,180.0,HORIZONTAL,10.0,60.0,90.0,4.0,4.0,7,5,12504703,3,3,17962165,17962133
1232644,Anonymous,32236731,637.61,127.64,184.0,316.0,90.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,2,5,456502050,0,1,87314331,87312236
1232644,Anonymous,32236731,637.61,127.64,184.0,316.0,90.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,2,5,456502052,0,0,87313369,87312236
1232644,Anonymous,32236731,637.61,127.64,184.0,316.0,90.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,2,5,456502055,0,4,87314325,87312236
1232644,Anonymous,32236731,637.61,127.64,184.0,316.0,90.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,2,5,456502054,1,0,87314324,87312236
1232644,Anonymous,32236731,637.61,127.64,184.0,316.0,90.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,2,5,456502051,1,2,87319124,87312236
1232644,Anonymous,32236731,637.61,127.64,184.0,316.0,90.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,2,5,456502059,1,3,87313366,87312236
1232644,Anonymous,32236731,637.61,127.64,184.0,316.0,90.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,2,5,456502056,0,3,87313371,87312236
1232644,Anonymous,32236731,637.61,127.64,184.0,316.0,90.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,2,5,456502058,0,2,87315596,87312236
1232644,Anonymous,32236731,637.61,127.64,184.0,316.0,90.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,2,5,456502053,1,1,87313365,87312236
1232644,Anonymous,32236731,637.61,127.64,184.0,316.0,90.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,2,5,456502057,1,4,87314328,87312236
1232644,Anonymous,32236732,0.0,448.02,90.0,636.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,10,456502061,0,0,87318009,87312236
1232644,Anonymous,32236732,0.0,448.02,90.0,636.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,10,456502069,0,2,87314332,87312236
1232644,Anonymous,32236732,0.0,448.02,90.0,636.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,10,456502065,0,6,87314327,87312236
1232644,Anonymous,32236732,0.0,448.02,90.0,636.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,10,456502063,0,8,87315602,87312236
1232644,Anonymous,32236732,0.0,448.02,90.0,636.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,10,456502064,0,7,87318010,87312236
1232644,Anonymous,32236732,0.0,448.02,90.0,636.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,10,456502066,0,5,87315595,87312236
1232644,Anonymous,32236732,0.0,448.02,90.0,636.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,10,456502060,0,1,87313363,87312236
1232644,Anonymous,32236732,0.0,448.02,90.0,636.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,10,456502068,0,3,87313367,87312236
1232644,Anonymous,32236732,0.0,448.02,90.0,636.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,10,456502062,0,9,87314334,87312236
1232644,Anonymous,32236732,0.0,448.02,90.0,636.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,10,456502067,0,4,87314330,87312236
1232644,Anonymous,32236733,97.24,351.03,90.0,444.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,7,456502070,0,1,87315599,87312236
1232644,Anonymous,32236733,97.24,351.03,90.0,444.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,7,456502074,0,4,87314333,87312236
1232644,Anonymous,32236733,97.24,351.03,90.0,444.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,7,456502073,0,5,87315598,87312236
1232644,Anonymous,32236733,97.24,351.03,90.0,444.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,7,456502075,0,3,87314338,87312236
1232644,Anonymous,32236733,97.24,351.03,90.0,444.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,7,456502071,0,0,87318008,87312236
1232644,Anonymous,32236733,97.24,351.03,90.0,444.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,7,456502072,0,6,87314337,87312236
1232644,Anonymous,32236733,97.24,351.03,90.0,444.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,7,456502076,0,2,87313372,87312236
1232644,Anonymous,32236734,191.72,255.4,90.0,252.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,4,456502079,0,3,87313368,87312236
1232644,Anonymous,32236734,191.72,255.4,90.0,252.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,4,456502078,0,0,87313370,87312236
1232644,Anonymous,32236734,191.72,255.4,90.0,252.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,4,456502080,0,2,87315601,87312236
1232644,Anonymous,32236734,191.72,255.4,90.0,252.0,180.0,VERTICAL,0.0,60.0,90.0,4.0,4.0,1,4,456502077,0,1,87314336,87312236
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644888,4,5,60672638,60672623
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644893,3,1,60672580,60672568
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644886,3,5,60672595,60672568
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644864,5,3,60672648,60672623
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644899,0,6,60672603,60672568
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644868,1,4,60672577,60672568
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644874,5,4,60672649,60672623
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644880,5,0,60672641,60672623
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644872,4,4,60672632,60672623
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644904,4,6,60672646,60672623
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644862,3,3,60672593,60672568
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644892,6,5,60672652,60672623
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644885,2,5,60672572,60672568
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644849,1,2,60672584,60672568
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644895,4,1,60672644,60672623
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644851,2,2,60672599,60672568
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644867,0,4,60672581,60672568
787197,Anonymous,17819189,0.0,0.0,508.0,654.0,180.0,HORIZONTAL,12.0,60.0,90.0,4.0,4.0,8,7,230644898,7,1,60672630,60672623
